expediente|cod_plan|des_plan|anio_apertura_expediente|abandona|convocatoria_acceso|des_acceso|nota_admision_def|sexo|lugar_origen|anio_nacimiento_interval
35|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
36|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|8.23|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
37|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.67|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
38|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
39|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.23|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
40|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|6.63|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
41|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.02|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
43|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
44|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
45|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
47|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|6.836|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
48|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
50|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.51|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
51|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|6.836|H|OTRA_COMUNIDAD|(1980.0, 1985.0]
52|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|9.12|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
55|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.48|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
56|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|5.9|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
57|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Mayores de 25/40/45 años|6.836|H|MISMO_MUNICIPIO|(1980.0, 1985.0]
58|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
59|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
60|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
61|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
62|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.17|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
63|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.17|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
64|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
66|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.33|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
67|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
68|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.11|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
