expediente|cod_plan|des_plan|anio_apertura_expediente|abandona|convocatoria_acceso|des_acceso|nota_admision_def|sexo|lugar_origen|anio_nacimiento_interval
84|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
86|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRA_COMUNIDAD|(1980.0, 1985.0]
88|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
89|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
91|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
92|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1980.0, 1985.0]
93|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
94|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
96|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
97|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
99|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
100|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRA_COMUNIDAD|(1980.0, 1985.0]
101|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
102|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
103|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
104|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Formación Profesional|6.502|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
105|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|D|OTRA_COMUNIDAD|(1980.0, 1985.0]
106|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|8.23|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
109|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
112|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
113|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
114|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
116|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
117|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
119|1626|GRADO EN EDIFICACIÓN|2009-10|0|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
120|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
121|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
123|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
124|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
125|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1980.0, 1985.0]
127|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
129|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
130|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
133|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
134|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
135|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
137|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
138|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
139|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|D|MISMO_MUNICIPIO|(1985.0, 1990.0]
140|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
141|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|D|OTRA_COMUNIDAD|(1980.0, 1985.0]
142|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
146|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Formación Profesional|6.502|H|MISMO_MUNICIPIO|(1980.0, 1985.0]
147|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1980.0, 1985.0]
149|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
152|1626|GRADO EN EDIFICACIÓN|2009-10|1|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
153|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
154|1626|GRADO EN EDIFICACIÓN|2009-10|1|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
155|1626|GRADO EN EDIFICACIÓN|2009-10|1|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
156|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|D|MISMO_MUNICIPIO|(1985.0, 1990.0]
157|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
158|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|D|OTRA_COMUNIDAD|(1985.0, 1990.0]
164|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|MISMO_MUNICIPIO|(1980.0, 1985.0]
166|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
167|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
168|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
169|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|D|OTRA_COMUNIDAD|(1985.0, 1990.0]
170|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
171|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
172|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
173|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|D|OTRA_COMUNIDAD|(1975.0, 1980.0]
174|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
178|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Formación Profesional|6.502|H|OTRA_COMUNIDAD|(1965.0, 1970.0]
180|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
181|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
184|1626|GRADO EN EDIFICACIÓN|2009-10|0|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
185|1626|GRADO EN EDIFICACIÓN|2009-10|1|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
186|1626|GRADO EN EDIFICACIÓN|2008-09|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
188|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
190|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
191|1626|GRADO EN EDIFICACIÓN|2008-09|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
192|1626|GRADO EN EDIFICACIÓN|2009-10|1|SEP|Selectividad|6.502|D|MISMO_MUNICIPIO|(1985.0, 1990.0]
193|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
194|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
196|1626|GRADO EN EDIFICACIÓN|2009-10|1|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
197|1626|GRADO EN EDIFICACIÓN|2009-10|0|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
199|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
200|1626|GRADO EN EDIFICACIÓN|2009-10|1|SEP|Selectividad|6.502|H|MISMO_MUNICIPIO|(1980.0, 1985.0]
201|1626|GRADO EN EDIFICACIÓN|2009-10|1|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
202|1626|GRADO EN EDIFICACIÓN|2008-09|1|JUN|Selectividad|6.502|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
205|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
206|1626|GRADO EN EDIFICACIÓN|2009-10|1|FEB|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
207|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
208|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Selectividad|6.502|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
209|1626|GRADO EN EDIFICACIÓN|2008-09|1|JUN|Selectividad|6.502|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
210|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
211|1626|GRADO EN EDIFICACIÓN|2009-10|1|JUN|Selectividad|6.502|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
212|1626|GRADO EN EDIFICACIÓN|2009-10|0|SEP|Selectividad|6.502|D|OTRA_COMUNIDAD|(1985.0, 1990.0]
213|1626|GRADO EN EDIFICACIÓN|2009-10|0|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
215|1626|GRADO EN EDIFICACIÓN|2009-10|0|JUN|Formación Profesional|6.502|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
221|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
223|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
224|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
225|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
227|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
228|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
229|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
230|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
232|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
237|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Título Universitario|6.502|D|OTRO_MUNICIPIO|(1970.0, 1975.0]
240|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
241|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.95|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
243|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
244|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
245|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
248|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
250|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
251|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
254|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
255|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
256|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
258|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
259|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
260|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
261|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
262|1626|GRADO EN EDIFICACIÓN|2010-11|0|DIC|Formación Profesional|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
263|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
264|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
265|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
266|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|H|OTRA_COMUNIDAD|(1975.0, 1980.0]
267|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.502|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
272|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
273|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
275|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
276|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
277|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
278|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
279|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
280|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
281|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
283|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
284|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
285|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
286|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
287|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
292|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
293|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
294|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
295|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
298|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
299|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
301|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
302|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1980.0, 1985.0]
303|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
304|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|8.47|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
305|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
308|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|5.07|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
309|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
310|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|D|MISMO_MUNICIPIO|(1985.0, 1990.0]
312|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
313|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
314|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
315|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
319|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
320|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Formación Profesional|6.502|D|OTRA_COMUNIDAD|(1985.0, 1990.0]
321|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
323|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
324|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
325|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
326|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Formación Profesional|6.502|H|OTRO_MUNICIPIO|(1980.0, 1985.0]
327|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
329|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
331|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
332|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
333|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
334|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.502|H|OTRA_COMUNIDAD|(1975.0, 1980.0]
335|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|D|OTRA_COMUNIDAD|(1985.0, 1990.0]
338|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|5.43|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
339|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
340|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.502|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
341|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
342|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
343|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
345|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
346|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.444|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
347|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.502|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
348|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
351|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
353|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.502|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
354|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.502|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
355|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.914|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
356|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.502|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
357|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
358|1626|GRADO EN EDIFICACIÓN|2010-11|1|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
360|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
361|1626|GRADO EN EDIFICACIÓN|2010-11|0|JUN|Selectividad|6.502|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
362|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
363|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
364|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
365|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
366|1626|GRADO EN EDIFICACIÓN|2010-11|0|SEP|Selectividad|6.502|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
367|1626|GRADO EN EDIFICACIÓN|2010-11|1|JUN|Selectividad|6.502|H|OTRO_MUNICIPIO|(1975.0, 1980.0]
